Namespace(batch_size=138, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-14, lr_div=100, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2, tau_ref_low=2, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.0, train_samples=100, train_tau=False)
bf2bc31a-69c0-4b09-a15e-806224879e4c
Start Training Backbone
Epoch 1 | Batch 0/47 | Loss 11.3340 | Rotate Loss 5.1272 | Accuracy 2.898551 | Rotate Accuracy 28.2609 | Time 19.5640
Epoch 1 | Batch 5/47 | Loss 10.2389 | Rotate Loss 5.1932 | Accuracy 1.811594 | Rotate Accuracy 25.6039 | Time 18.9304
Epoch 1 | Batch 10/47 | Loss 10.3122 | Rotate Loss 5.2481 | Accuracy 1.383399 | Rotate Accuracy 25.0329 | Time 18.9501
Epoch 1 | Batch 15/47 | Loss 10.1734 | Rotate Loss 5.1546 | Accuracy 1.539855 | Rotate Accuracy 24.9547 | Time 18.6522
Epoch 1 | Batch 20/47 | Loss 10.1349 | Rotate Loss 5.1370 | Accuracy 1.449275 | Rotate Accuracy 24.9827 | Time 19.5183
Epoch 1 | Batch 25/47 | Loss 10.0161 | Rotate Loss 5.1012 | Accuracy 1.560758 | Rotate Accuracy 24.9164 | Time 19.9597
Epoch 1 | Batch 30/47 | Loss 9.9740 | Rotate Loss 5.0276 | Accuracy 1.659654 | Rotate Accuracy 24.8013 | Time 19.0475
Epoch 1 | Batch 35/47 | Loss 9.9379 | Rotate Loss 4.9399 | Accuracy 1.650564 | Rotate Accuracy 24.5370 | Time 18.4423
Epoch 1 | Batch 40/47 | Loss 9.9385 | Rotate Loss 4.9070 | Accuracy 1.626016 | Rotate Accuracy 24.1958 | Time 19.3698
Epoch 1 | Batch 45/47 | Loss 9.8526 | Rotate Loss 4.8430 | Accuracy 1.606805 | Rotate Accuracy 23.8658 | Time 18.9297
Epoch 1 : Accuracy 1.515625, Rotate Accuracy 22.484375, Time 1504.575583
Epoch 2 | Batch 0/47 | Loss 9.0390 | Rotate Loss 4.5243 | Accuracy 2.173913 | Rotate Accuracy 20.2899 | Time 18.9709
Epoch 2 | Batch 5/47 | Loss 9.1850 | Rotate Loss 3.6347 | Accuracy 1.449275 | Rotate Accuracy 21.4976 | Time 18.6592
Epoch 2 | Batch 10/47 | Loss 9.1754 | Rotate Loss 3.3870 | Accuracy 1.251647 | Rotate Accuracy 22.1344 | Time 19.3994
Epoch 2 | Batch 15/47 | Loss 9.1909 | Rotate Loss 3.0732 | Accuracy 1.403986 | Rotate Accuracy 22.6902 | Time 19.2934
Epoch 2 | Batch 20/47 | Loss 9.1619 | Rotate Loss 2.8249 | Accuracy 1.587302 | Rotate Accuracy 23.6715 | Time 18.6718
Epoch 2 | Batch 25/47 | Loss 9.1409 | Rotate Loss 2.6317 | Accuracy 1.505017 | Rotate Accuracy 22.8261 | Time 19.0979
Epoch 2 | Batch 30/47 | Loss 9.0885 | Rotate Loss 2.4853 | Accuracy 1.566152 | Rotate Accuracy 22.4404 | Time 18.7910
Epoch 2 | Batch 35/47 | Loss 9.0192 | Rotate Loss 2.3764 | Accuracy 1.590177 | Rotate Accuracy 22.9066 | Time 18.9074
Epoch 2 | Batch 40/47 | Loss 8.9679 | Rotate Loss 2.2988 | Accuracy 1.519972 | Rotate Accuracy 22.9586 | Time 18.9890
Epoch 2 | Batch 45/47 | Loss 8.9137 | Rotate Loss 2.2397 | Accuracy 1.559546 | Rotate Accuracy 22.9521 | Time 18.4367
Epoch 2 : Accuracy 1.859375, Rotate Accuracy 27.421875, Time 1498.550513
Epoch 3 | Batch 0/47 | Loss 7.8774 | Rotate Loss 1.5587 | Accuracy 2.173913 | Rotate Accuracy 31.1594 | Time 18.7860
Epoch 3 | Batch 5/47 | Loss 8.1974 | Rotate Loss 1.6746 | Accuracy 1.328502 | Rotate Accuracy 25.9662 | Time 18.9161
Epoch 3 | Batch 10/47 | Loss 8.2536 | Rotate Loss 1.7182 | Accuracy 1.449275 | Rotate Accuracy 25.0988 | Time 19.3673
Epoch 3 | Batch 15/47 | Loss 8.0462 | Rotate Loss 1.7467 | Accuracy 1.630435 | Rotate Accuracy 24.7283 | Time 19.0224
Epoch 3 | Batch 20/47 | Loss 7.9167 | Rotate Loss 1.7606 | Accuracy 1.552795 | Rotate Accuracy 24.8102 | Time 18.9179
Epoch 3 | Batch 25/47 | Loss 7.9257 | Rotate Loss 1.7697 | Accuracy 1.616499 | Rotate Accuracy 24.7770 | Time 18.9866
Epoch 3 | Batch 30/47 | Loss 7.9008 | Rotate Loss 1.7718 | Accuracy 1.612903 | Rotate Accuracy 24.9883 | Time 18.9047
Epoch 3 | Batch 35/47 | Loss 7.8674 | Rotate Loss 1.7863 | Accuracy 1.610306 | Rotate Accuracy 24.7383 | Time 18.4962
Epoch 3 | Batch 40/47 | Loss 7.8059 | Rotate Loss 1.7945 | Accuracy 1.572994 | Rotate Accuracy 24.5316 | Time 18.2232
Epoch 3 | Batch 45/47 | Loss 7.6983 | Rotate Loss 1.7978 | Accuracy 1.465028 | Rotate Accuracy 24.5117 | Time 19.0037
Epoch 3 : Accuracy 1.671875, Rotate Accuracy 25.171875, Time 1503.791401
Epoch 4 | Batch 0/47 | Loss 6.5916 | Rotate Loss 1.9251 | Accuracy 1.449275 | Rotate Accuracy 25.3623 | Time 18.9506
Epoch 4 | Batch 5/47 | Loss 7.1563 | Rotate Loss 1.8389 | Accuracy 1.932367 | Rotate Accuracy 25.4831 | Time 18.9353
Epoch 4 | Batch 10/47 | Loss 7.0371 | Rotate Loss 1.8247 | Accuracy 1.778656 | Rotate Accuracy 26.5481 | Time 18.6555
Epoch 4 | Batch 15/47 | Loss 7.0064 | Rotate Loss 1.8444 | Accuracy 1.856884 | Rotate Accuracy 26.7210 | Time 19.6488
Epoch 4 | Batch 20/47 | Loss 6.9517 | Rotate Loss 1.8458 | Accuracy 1.725328 | Rotate Accuracy 26.1560 | Time 18.5905
Epoch 4 | Batch 25/47 | Loss 6.9454 | Rotate Loss 1.8339 | Accuracy 1.727982 | Rotate Accuracy 26.2542 | Time 18.6229
