Namespace(batch_size=138, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, tau_mem_high=20, tau_mem_low=20, tau_ref_high=1.5, tau_ref_low=1.5, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.0, train_samples=100, train_tau=False)
ab1e2c69-a596-4f56-b45c-b722f6e2d2a4
Start Training Backbone
Epoch 1 | Batch 0/47 | Loss 15.1839 | Rotate Loss 8.0637 | Accuracy 0.724638 | Rotate Accuracy 20.2899 | Time 19.8664
Epoch 1 | Batch 5/47 | Loss 12.8682 | Rotate Loss 8.4069 | Accuracy 0.845411 | Rotate Accuracy 26.2077 | Time 18.5719
Epoch 1 | Batch 10/47 | Loss 11.3621 | Rotate Loss 7.4673 | Accuracy 1.383399 | Rotate Accuracy 25.8235 | Time 19.0773
Epoch 1 | Batch 15/47 | Loss 10.8935 | Rotate Loss 6.3036 | Accuracy 1.630435 | Rotate Accuracy 29.3478 | Time 18.4141
Epoch 1 | Batch 20/47 | Loss 10.6950 | Rotate Loss 5.8260 | Accuracy 1.863354 | Rotate Accuracy 30.4693 | Time 19.1220
Epoch 1 | Batch 25/47 | Loss 10.7060 | Rotate Loss 5.4935 | Accuracy 1.783724 | Rotate Accuracy 32.4415 | Time 18.7311
Epoch 1 | Batch 30/47 | Loss 10.8028 | Rotate Loss 5.3422 | Accuracy 1.636279 | Rotate Accuracy 32.4451 | Time 18.5230
Epoch 1 | Batch 35/47 | Loss 10.9681 | Rotate Loss 5.5970 | Accuracy 1.731079 | Rotate Accuracy 31.8035 | Time 19.5204
Epoch 1 | Batch 40/47 | Loss 11.1841 | Rotate Loss 5.5560 | Accuracy 1.643690 | Rotate Accuracy 31.5306 | Time 18.5167
Epoch 1 | Batch 45/47 | Loss 11.2789 | Rotate Loss 5.7596 | Accuracy 1.559546 | Rotate Accuracy 32.5299 | Time 19.1484
Epoch 1 : Accuracy 1.359375, Rotate Accuracy 40.343750, Time 1499.488332
Epoch 2 | Batch 0/47 | Loss 10.8764 | Rotate Loss 4.6382 | Accuracy 2.898551 | Rotate Accuracy 39.8551 | Time 19.1848
Epoch 2 | Batch 5/47 | Loss 10.9346 | Rotate Loss 3.6272 | Accuracy 0.845411 | Rotate Accuracy 41.9082 | Time 19.2572
Epoch 2 | Batch 10/47 | Loss 11.1023 | Rotate Loss 2.5877 | Accuracy 1.054018 | Rotate Accuracy 41.1067 | Time 19.0032
Epoch 2 | Batch 15/47 | Loss 10.8513 | Rotate Loss 2.5481 | Accuracy 1.222826 | Rotate Accuracy 40.0362 | Time 19.2721
Epoch 2 | Batch 20/47 | Loss 10.8954 | Rotate Loss 2.8832 | Accuracy 1.414769 | Rotate Accuracy 39.6135 | Time 18.0726
Epoch 2 | Batch 25/47 | Loss 10.8847 | Rotate Loss 3.1903 | Accuracy 1.337793 | Rotate Accuracy 39.6321 | Time 19.0705
Epoch 2 | Batch 30/47 | Loss 10.9080 | Rotate Loss 3.4801 | Accuracy 1.379149 | Rotate Accuracy 40.1823 | Time 19.0009
Epoch 2 | Batch 35/47 | Loss 11.0590 | Rotate Loss 3.7975 | Accuracy 1.409018 | Rotate Accuracy 39.2311 | Time 18.5441
