Namespace(aux_classes=4, batch_size=32, burnin=10, conv_bias=True, dataset='ASL-DVS', delta_t=1, epochs=400, fc_bias=True, init_gain_backbone=0.5, init_gain_fc=1, k1=7, k2=7, log_int=10, lr=1e-05, lr_div=100, n_train=14, none_act=0.05, oc1=8, oc2=24, reset=1, save_int=5, target_act=0.95, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.5, train_samples=1000)
d10fffc4-445d-4896-a95c-e9a2be0f5b3f
Start Training Backbone
Epoch 1 | Batch 0/438 | Loss 3985.314941 | Rotate Loss 3344.218750 | Time 0.955526
Epoch 1 | Batch 10/438 | Loss 4046.992298 | Rotate Loss 3479.263139 | Time 0.994114
Epoch 1 | Batch 20/438 | Loss 3962.432582 | Rotate Loss 3443.204055 | Time 0.970682
Epoch 1 | Batch 30/438 | Loss 3882.171985 | Rotate Loss 3365.327621 | Time 14.357348
Epoch 1 | Batch 40/438 | Loss 3804.412092 | Rotate Loss 3303.773533 | Time 0.943852
Epoch 1 | Batch 50/438 | Loss 3709.013911 | Rotate Loss 3252.968597 | Time 0.986225
Epoch 1 | Batch 60/438 | Loss 3620.593770 | Rotate Loss 3200.427702 | Time 0.940522
Epoch 1 | Batch 70/438 | Loss 3534.098433 | Rotate Loss 3149.881327 | Time 0.936861
Epoch 1 | Batch 80/438 | Loss 3454.238803 | Rotate Loss 3096.871431 | Time 0.935327
Epoch 1 | Batch 90/438 | Loss 3365.636115 | Rotate Loss 3044.970424 | Time 0.951687
Epoch 1 | Batch 100/438 | Loss 3273.920978 | Rotate Loss 2989.459700 | Time 0.959566
Epoch 1 | Batch 110/438 | Loss 3189.804655 | Rotate Loss 2935.502991 | Time 0.950185
Epoch 1 | Batch 120/438 | Loss 3104.546051 | Rotate Loss 2882.421488 | Time 0.941715
Epoch 1 | Batch 130/438 | Loss 3029.517256 | Rotate Loss 2832.642235 | Time 0.951457
Epoch 1 | Batch 140/438 | Loss 2956.623276 | Rotate Loss 2783.942653 | Time 0.954643
Epoch 1 | Batch 150/438 | Loss 2890.203870 | Rotate Loss 2737.553549 | Time 0.943365
Epoch 1 | Batch 160/438 | Loss 2827.805051 | Rotate Loss 2692.819172 | Time 0.960954
Epoch 1 | Batch 170/438 | Loss 2766.672764 | Rotate Loss 2655.460275 | Time 0.945067
Epoch 1 | Batch 180/438 | Loss 2711.119715 | Rotate Loss 2618.992792 | Time 0.947406
Epoch 1 | Batch 190/438 | Loss 2656.650357 | Rotate Loss 2584.340151 | Time 0.940933
Epoch 1 | Batch 200/438 | Loss 2604.555416 | Rotate Loss 2552.721859 | Time 0.945155
Epoch 1 | Batch 210/438 | Loss 2555.047503 | Rotate Loss 2522.333901 | Time 0.942805
Epoch 1 | Batch 220/438 | Loss 2509.302105 | Rotate Loss 2495.385181 | Time 0.944276
Epoch 1 | Batch 230/438 | Loss 2461.528835 | Rotate Loss 2470.457302 | Time 0.951461
Epoch 1 | Batch 240/438 | Loss 2418.906142 | Rotate Loss 2446.725169 | Time 0.948235
Epoch 1 | Batch 250/438 | Loss 2373.400101 | Rotate Loss 2424.293965 | Time 0.941051
Epoch 1 | Batch 260/438 | Loss 2328.588394 | Rotate Loss 2402.642451 | Time 0.940145
Epoch 1 | Batch 270/438 | Loss 2284.540442 | Rotate Loss 2383.094543 | Time 0.941660
Epoch 1 | Batch 280/438 | Loss 2240.137895 | Rotate Loss 2364.821174 | Time 0.984149
Epoch 1 | Batch 290/438 | Loss 2196.114058 | Rotate Loss 2348.230657 | Time 0.977974
Epoch 1 | Batch 300/438 | Loss 2150.516438 | Rotate Loss 2332.440342 | Time 0.983931
Epoch 1 | Batch 310/438 | Loss 2105.957079 | Rotate Loss 2316.827007 | Time 0.985298
Epoch 1 | Batch 320/438 | Loss 2063.444461 | Rotate Loss 2302.431428 | Time 0.983816
Epoch 1 | Batch 330/438 | Loss 2022.523300 | Rotate Loss 2289.356649 | Time 0.933786
Epoch 1 | Batch 340/438 | Loss 1983.622803 | Rotate Loss 2276.555123 | Time 0.939482
Epoch 1 | Batch 350/438 | Loss 1946.182765 | Rotate Loss 2264.569500 | Time 0.947929
Epoch 1 | Batch 360/438 | Loss 1910.440843 | Rotate Loss 2253.224301 | Time 0.942588
Epoch 1 | Batch 370/438 | Loss 1876.288643 | Rotate Loss 2242.326377 | Time 0.949413
Epoch 1 | Batch 380/438 | Loss 1844.062763 | Rotate Loss 2232.051540 | Time 0.962440
Epoch 1 | Batch 390/438 | Loss 1813.308475 | Rotate Loss 2222.507183 | Time 0.976079
Epoch 1 | Batch 400/438 | Loss 1783.934818 | Rotate Loss 2213.325368 | Time 0.979195
Epoch 1 | Batch 410/438 | Loss 1756.225855 | Rotate Loss 2204.174109 | Time 0.997869
Epoch 1 | Batch 420/438 | Loss 1729.197035 | Rotate Loss 2195.209639 | Time 0.929266
Epoch 1 | Batch 430/438 | Loss 1703.553621 | Rotate Loss 2187.579466 | Time 0.926273
Epoch 1 : Accuracy 8.192857, Rotate Accuracy 25.426786, Time 1225.364501
Epoch 2 | Batch 0/438 | Loss 592.687500 | Rotate Loss 1884.992188 | Time 0.874238
Epoch 2 | Batch 10/438 | Loss 617.334844 | Rotate Loss 1839.673651 | Time 0.919860
Epoch 2 | Batch 20/438 | Loss 617.619080 | Rotate Loss 1840.985119 | Time 0.916106
Epoch 2 | Batch 30/438 | Loss 618.760470 | Rotate Loss 1834.155494 | Time 0.920615
Epoch 2 | Batch 40/438 | Loss 619.679525 | Rotate Loss 1833.228849 | Time 0.917644
Epoch 2 | Batch 50/438 | Loss 616.099249 | Rotate Loss 1835.498775 | Time 0.931303
Epoch 2 | Batch 60/438 | Loss 614.861159 | Rotate Loss 1832.784324 | Time 0.929481
Epoch 2 | Batch 70/438 | Loss 611.045236 | Rotate Loss 1833.245654 | Time 0.923358
Epoch 2 | Batch 80/438 | Loss 610.284335 | Rotate Loss 1835.927903 | Time 0.917190
Epoch 2 | Batch 90/438 | Loss 610.940886 | Rotate Loss 1835.899339 | Time 0.918920
Epoch 2 | Batch 100/438 | Loss 608.674729 | Rotate Loss 1834.942876 | Time 0.918395
Epoch 2 | Batch 110/438 | Loss 607.896443 | Rotate Loss 1833.928878 | Time 0.921425
Epoch 2 | Batch 120/438 | Loss 606.656202 | Rotate Loss 1833.132683 | Time 0.914847
Epoch 2 | Batch 130/438 | Loss 604.757762 | Rotate Loss 1832.488878 | Time 0.921991
Epoch 2 | Batch 140/438 | Loss 602.971958 | Rotate Loss 1831.954981 | Time 0.917655
Epoch 2 | Batch 150/438 | Loss 602.876475 | Rotate Loss 1831.333506 | Time 0.918178
Epoch 2 | Batch 160/438 | Loss 601.894118 | Rotate Loss 1829.476223 | Time 0.922980
Epoch 2 | Batch 170/438 | Loss 600.511070 | Rotate Loss 1828.803568 | Time 0.917827
Epoch 2 | Batch 180/438 | Loss 599.923307 | Rotate Loss 1828.222829 | Time 0.920195
Epoch 2 | Batch 190/438 | Loss 599.191406 | Rotate Loss 1827.463024 | Time 0.935519
Epoch 2 | Batch 200/438 | Loss 597.998216 | Rotate Loss 1827.086384 | Time 0.919862
Epoch 2 | Batch 210/438 | Loss 596.817477 | Rotate Loss 1826.757276 | Time 0.934109
Epoch 2 | Batch 220/438 | Loss 595.786124 | Rotate Loss 1826.224565 | Time 0.920775
Epoch 2 | Batch 230/438 | Loss 595.319599 | Rotate Loss 1825.904660 | Time 0.918192
Epoch 2 | Batch 240/438 | Loss 594.219424 | Rotate Loss 1826.611304 | Time 0.919456
Epoch 2 | Batch 250/438 | Loss 593.099272 | Rotate Loss 1827.158164 | Time 0.921387
Epoch 2 | Batch 260/438 | Loss 592.227148 | Rotate Loss 1826.983776 | Time 0.932063
Epoch 2 | Batch 270/438 | Loss 591.255133 | Rotate Loss 1826.021780 | Time 0.909012
Epoch 2 | Batch 280/438 | Loss 590.602935 | Rotate Loss 1825.761663 | Time 0.919052
Epoch 2 | Batch 290/438 | Loss 589.753723 | Rotate Loss 1825.546781 | Time 0.918018
Epoch 2 | Batch 300/438 | Loss 588.758220 | Rotate Loss 1825.255762 | Time 0.918088
Epoch 2 | Batch 310/438 | Loss 588.106516 | Rotate Loss 1825.013012 | Time 0.922963
Epoch 2 | Batch 320/438 | Loss 587.703853 | Rotate Loss 1825.751545 | Time 0.914132
Epoch 2 | Batch 330/438 | Loss 586.910882 | Rotate Loss 1825.886388 | Time 0.927956
Epoch 2 | Batch 340/438 | Loss 586.103955 | Rotate Loss 1825.505476 | Time 0.923027
Epoch 2 | Batch 350/438 | Loss 585.352450 | Rotate Loss 1825.168948 | Time 0.919244
Epoch 2 | Batch 360/438 | Loss 584.904551 | Rotate Loss 1825.117177 | Time 0.921563
Epoch 2 | Batch 370/438 | Loss 584.015115 | Rotate Loss 1824.819007 | Time 0.928384
Epoch 2 | Batch 380/438 | Loss 583.414273 | Rotate Loss 1824.766004 | Time 0.914402
Epoch 2 | Batch 390/438 | Loss 582.967029 | Rotate Loss 1824.588425 | Time 0.921725
Epoch 2 | Batch 400/438 | Loss 582.417582 | Rotate Loss 1824.783150 | Time 0.914662
Epoch 2 | Batch 410/438 | Loss 581.982854 | Rotate Loss 1824.283236 | Time 0.921148
Epoch 2 | Batch 420/438 | Loss 581.515132 | Rotate Loss 1824.173137 | Time 0.922243
Epoch 2 | Batch 430/438 | Loss 581.220216 | Rotate Loss 1824.159322 | Time 0.918964
Epoch 2 : Accuracy 8.675000, Rotate Accuracy 25.957143, Time 902.908345
Epoch 3 | Batch 0/438 | Loss 543.321472 | Rotate Loss 1803.421875 | Time 0.866757
Epoch 3 | Batch 10/438 | Loss 555.707814 | Rotate Loss 1809.317472 | Time 0.923979
Epoch 3 | Batch 20/438 | Loss 560.393732 | Rotate Loss 1806.358817 | Time 0.916337
Epoch 3 | Batch 30/438 | Loss 559.898930 | Rotate Loss 1806.645287 | Time 0.917991
Epoch 3 | Batch 40/438 | Loss 559.816771 | Rotate Loss 1808.928449 | Time 0.919554
Epoch 3 | Batch 50/438 | Loss 560.141743 | Rotate Loss 1810.270297 | Time 0.920346
Epoch 3 | Batch 60/438 | Loss 559.793642 | Rotate Loss 1809.082095 | Time 0.914698
Epoch 3 | Batch 70/438 | Loss 559.765303 | Rotate Loss 1808.982890 | Time 0.923883
Epoch 3 | Batch 80/438 | Loss 560.953176 | Rotate Loss 1809.460938 | Time 0.919940
Epoch 3 | Batch 90/438 | Loss 560.550333 | Rotate Loss 1810.393630 | Time 0.919944
Epoch 3 | Batch 100/438 | Loss 560.294646 | Rotate Loss 1808.861347 | Time 0.920768
Epoch 3 | Batch 110/438 | Loss 560.411865 | Rotate Loss 1808.883833 | Time 0.916872
Epoch 3 | Batch 120/438 | Loss 560.231891 | Rotate Loss 1808.601046 | Time 0.918467
Epoch 3 | Batch 130/438 | Loss 559.884090 | Rotate Loss 1809.560681 | Time 0.917672
Epoch 3 | Batch 140/438 | Loss 559.969456 | Rotate Loss 1809.776457 | Time 0.924876
Epoch 3 | Batch 150/438 | Loss 559.669269 | Rotate Loss 1810.119956 | Time 0.923110
Epoch 3 | Batch 160/438 | Loss 559.492040 | Rotate Loss 1809.707977 | Time 0.922194
Epoch 3 | Batch 170/438 | Loss 559.710056 | Rotate Loss 1809.172903 | Time 0.917744
Epoch 3 | Batch 180/438 | Loss 559.388961 | Rotate Loss 1809.410739 | Time 0.916346
Epoch 3 | Batch 190/438 | Loss 559.252655 | Rotate Loss 1808.664717 | Time 0.922923
Epoch 3 | Batch 200/438 | Loss 558.820921 | Rotate Loss 1808.126263 | Time 0.919330
Epoch 3 | Batch 210/438 | Loss 558.851318 | Rotate Loss 1807.867280 | Time 0.917213
Epoch 3 | Batch 220/438 | Loss 558.773609 | Rotate Loss 1807.444022 | Time 0.936489
Epoch 3 | Batch 230/438 | Loss 558.409744 | Rotate Loss 1807.563227 | Time 0.920597
Epoch 3 | Batch 240/438 | Loss 558.558228 | Rotate Loss 1807.998736 | Time 0.920418
Epoch 3 | Batch 250/438 | Loss 558.446294 | Rotate Loss 1807.506459 | Time 0.944383
Epoch 3 | Batch 260/438 | Loss 558.425526 | Rotate Loss 1807.860318 | Time 0.918959
Epoch 3 | Batch 270/438 | Loss 558.501673 | Rotate Loss 1807.603393 | Time 0.917254
Epoch 3 | Batch 280/438 | Loss 558.260185 | Rotate Loss 1807.584547 | Time 0.919224
Epoch 3 | Batch 290/438 | Loss 558.089833 | Rotate Loss 1807.058339 | Time 0.948628
Epoch 3 | Batch 300/438 | Loss 557.974961 | Rotate Loss 1807.095476 | Time 0.924844
Epoch 3 | Batch 310/438 | Loss 557.890938 | Rotate Loss 1806.956026 | Time 0.921089
Epoch 3 | Batch 320/438 | Loss 557.745694 | Rotate Loss 1806.434859 | Time 0.923333
Epoch 3 | Batch 330/438 | Loss 557.424733 | Rotate Loss 1806.525609 | Time 0.924700
Epoch 3 | Batch 340/438 | Loss 557.343782 | Rotate Loss 1806.016977 | Time 0.924517
Epoch 3 | Batch 350/438 | Loss 557.105312 | Rotate Loss 1805.576033 | Time 0.923216
Epoch 3 | Batch 360/438 | Loss 557.226245 | Rotate Loss 1804.891166 | Time 0.923481
Epoch 3 | Batch 370/438 | Loss 557.294110 | Rotate Loss 1804.860165 | Time 0.930644
Epoch 3 | Batch 380/438 | Loss 557.324999 | Rotate Loss 1804.579037 | Time 0.915666
Epoch 3 | Batch 390/438 | Loss 557.290096 | Rotate Loss 1804.433384 | Time 0.916141
Epoch 3 | Batch 400/438 | Loss 557.129785 | Rotate Loss 1804.247730 | Time 0.915794
Epoch 3 | Batch 410/438 | Loss 557.104898 | Rotate Loss 1804.195902 | Time 0.916153
Epoch 3 | Batch 420/438 | Loss 556.874273 | Rotate Loss 1803.870806 | Time 0.921563
Epoch 3 | Batch 430/438 | Loss 556.939675 | Rotate Loss 1803.272540 | Time 0.919791
Epoch 3 : Accuracy 8.339286, Rotate Accuracy 27.228571, Time 914.605711
Epoch 4 | Batch 0/438 | Loss 557.879517 | Rotate Loss 1770.875000 | Time 0.915439
Epoch 4 | Batch 10/438 | Loss 551.343983 | Rotate Loss 1777.225852 | Time 0.967947
Epoch 4 | Batch 20/438 | Loss 551.499390 | Rotate Loss 1780.905320 | Time 0.928717
Epoch 4 | Batch 30/438 | Loss 551.786028 | Rotate Loss 1786.774824 | Time 0.932607
