Namespace(batch_size=32, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-09, init_gain_conv1=1e-09, init_gain_conv2=1e-09, init_gain_conv3=1e-09, init_gain_fc=1e-09, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=20, none_act=0.05, oc1=32, oc2=64, oc3=64, padding=2, reset=1, save_int=5, target_act=1.0, tau_mem_high=27.5, tau_mem_low=27.5, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.0, train_samples=100, train_tau=False)
5a266be9-1213-467f-ab22-684665d5463b
Start Training Backbone
Epoch 1 | Batch 0/63 | Loss 8.8869 | Rotate Loss 3.4785 | Accuracy 0.000000 | Rotate Accuracy 25.0000 | Time 10.6152
Epoch 1 | Batch 5/63 | Loss 7.0083 | Rotate Loss 2.9752 | Accuracy 4.166667 | Rotate Accuracy 22.2656 | Time 10.6342
Epoch 1 | Batch 10/63 | Loss 6.8392 | Rotate Loss 2.9909 | Accuracy 5.397727 | Rotate Accuracy 21.9460 | Time 10.5361
Epoch 1 | Batch 15/63 | Loss 6.9818 | Rotate Loss 3.1764 | Accuracy 4.199219 | Rotate Accuracy 21.8262 | Time 10.5660
Epoch 1 | Batch 20/63 | Loss 7.0049 | Rotate Loss 3.4489 | Accuracy 4.687500 | Rotate Accuracy 21.0565 | Time 10.4525
Epoch 1 | Batch 25/63 | Loss 6.9014 | Rotate Loss 3.6262 | Accuracy 5.468750 | Rotate Accuracy 20.7031 | Time 10.5367
Epoch 1 | Batch 30/63 | Loss 6.8835 | Rotate Loss 3.8060 | Accuracy 5.594758 | Rotate Accuracy 19.6321 | Time 10.4547
Epoch 1 | Batch 35/63 | Loss 6.8360 | Rotate Loss 3.9485 | Accuracy 5.164931 | Rotate Accuracy 18.9019 | Time 10.4619
Epoch 1 | Batch 40/63 | Loss 6.8437 | Rotate Loss 4.0427 | Accuracy 4.954268 | Rotate Accuracy 18.1021 | Time 10.5343
Epoch 1 | Batch 45/63 | Loss 6.8900 | Rotate Loss 4.0941 | Accuracy 4.891304 | Rotate Accuracy 17.9688 | Time 10.5757
Epoch 1 | Batch 50/63 | Loss 6.8744 | Rotate Loss 4.1129 | Accuracy 5.116422 | Rotate Accuracy 18.3058 | Time 10.4855
Epoch 1 | Batch 55/63 | Loss 6.9190 | Rotate Loss 4.1409 | Accuracy 4.966518 | Rotate Accuracy 18.6523 | Time 10.5427
Epoch 1 | Batch 60/63 | Loss 6.8981 | Rotate Loss 4.1407 | Accuracy 4.815574 | Rotate Accuracy 19.0702 | Time 10.5658
Epoch 1 : Accuracy 4.975000, Rotate Accuracy 24.662500, Time 994.102343
Epoch 2 | Batch 0/63 | Loss 7.0896 | Rotate Loss 4.0881 | Accuracy 3.125000 | Rotate Accuracy 23.4375 | Time 10.5553
Epoch 2 | Batch 5/63 | Loss 7.2644 | Rotate Loss 4.2038 | Accuracy 2.604167 | Rotate Accuracy 23.3073 | Time 10.4820
Epoch 2 | Batch 10/63 | Loss 7.0925 | Rotate Loss 4.1962 | Accuracy 3.977273 | Rotate Accuracy 24.9290 | Time 10.5861
Epoch 2 | Batch 15/63 | Loss 7.0180 | Rotate Loss 4.2322 | Accuracy 4.296875 | Rotate Accuracy 25.2930 | Time 10.5274
