Namespace(batch_size=32, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-09, init_gain_conv1=1e-09, init_gain_conv2=1e-09, init_gain_conv3=1e-09, init_gain_fc=1e-09, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=20, none_act=0.05, oc1=32, oc2=64, oc3=64, padding=2, reset=1, save_int=5, target_act=1.0, tau_mem_high=20, tau_mem_low=20, tau_ref_high=0.5, tau_ref_low=0.5, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.0, train_samples=100, train_tau=False)
75d88164-8770-404b-8c74-3f8d50de5ea0
Start Training Backbone
Epoch 1 | Batch 0/63 | Loss 178.8045 | Rotate Loss 68.0828 | Accuracy 4.687500 | Rotate Accuracy 16.4062 | Time 10.5291
Epoch 1 | Batch 5/63 | Loss 135.3386 | Rotate Loss 91.2913 | Accuracy 4.166667 | Rotate Accuracy 20.8333 | Time 10.6179
Epoch 1 | Batch 10/63 | Loss 109.1819 | Rotate Loss 71.6915 | Accuracy 3.977273 | Rotate Accuracy 22.5142 | Time 12.6073
Epoch 1 | Batch 15/63 | Loss 83.7416 | Rotate Loss 52.2751 | Accuracy 5.273438 | Rotate Accuracy 22.4121 | Time 10.4671
Epoch 1 | Batch 20/63 | Loss 66.0510 | Rotate Loss 40.5325 | Accuracy 4.910714 | Rotate Accuracy 24.2932 | Time 10.5812
Epoch 1 | Batch 25/63 | Loss 54.0093 | Rotate Loss 33.0784 | Accuracy 5.048077 | Rotate Accuracy 25.5409 | Time 10.4438
Epoch 1 | Batch 30/63 | Loss 45.8381 | Rotate Loss 27.9775 | Accuracy 5.544355 | Rotate Accuracy 25.4284 | Time 10.3356
Epoch 1 | Batch 35/63 | Loss 39.9076 | Rotate Loss 24.2842 | Accuracy 5.295139 | Rotate Accuracy 25.3689 | Time 10.7798
Epoch 1 | Batch 40/63 | Loss 35.4059 | Rotate Loss 21.4916 | Accuracy 5.259146 | Rotate Accuracy 25.3239 | Time 10.6227
Epoch 1 | Batch 45/63 | Loss 31.8828 | Rotate Loss 19.3061 | Accuracy 5.095109 | Rotate Accuracy 25.2887 | Time 10.6743
Epoch 1 | Batch 50/63 | Loss 29.0506 | Rotate Loss 17.5492 | Accuracy 5.085784 | Rotate Accuracy 25.2604 | Time 10.4293
Epoch 1 | Batch 55/63 | Loss 26.7319 | Rotate Loss 16.1061 | Accuracy 4.854911 | Rotate Accuracy 25.2372 | Time 10.5719
Epoch 1 | Batch 60/63 | Loss 24.7861 | Rotate Loss 14.8996 | Accuracy 4.918033 | Rotate Accuracy 25.2177 | Time 10.4447
Epoch 1 : Accuracy 5.000000, Rotate Accuracy 25.000000, Time 1009.013384
Epoch 2 | Batch 0/63 | Loss 2.9941 | Rotate Loss 1.3773 | Accuracy 3.125000 | Rotate Accuracy 25.0000 | Time 10.5546
Epoch 2 | Batch 5/63 | Loss 3.0379 | Rotate Loss 1.3848 | Accuracy 6.250000 | Rotate Accuracy 25.0000 | Time 10.5765
Epoch 2 | Batch 10/63 | Loss 3.0181 | Rotate Loss 1.3855 | Accuracy 4.545455 | Rotate Accuracy 25.0000 | Time 10.4795
Epoch 2 | Batch 15/63 | Loss 3.0157 | Rotate Loss 1.3972 | Accuracy 4.101562 | Rotate Accuracy 24.9512 | Time 10.4827
Epoch 2 | Batch 20/63 | Loss 3.0300 | Rotate Loss 1.3946 | Accuracy 4.017857 | Rotate Accuracy 24.9628 | Time 10.6562
Epoch 2 | Batch 25/63 | Loss 3.0232 | Rotate Loss 1.3930 | Accuracy 3.966346 | Rotate Accuracy 24.9700 | Time 10.4471
Epoch 2 | Batch 30/63 | Loss 3.0184 | Rotate Loss 1.3918 | Accuracy 4.233871 | Rotate Accuracy 24.9748 | Time 10.6072
Epoch 2 | Batch 35/63 | Loss 3.0317 | Rotate Loss 1.3986 | Accuracy 4.600694 | Rotate Accuracy 24.9566 | Time 10.5638
Epoch 2 | Batch 40/63 | Loss 3.0271 | Rotate Loss 1.3970 | Accuracy 4.878049 | Rotate Accuracy 24.9619 | Time 10.4644
Epoch 2 | Batch 45/63 | Loss 3.0235 | Rotate Loss 1.3983 | Accuracy 4.959239 | Rotate Accuracy 24.9490 | Time 10.5120
Epoch 2 | Batch 50/63 | Loss 3.0207 | Rotate Loss 1.3970 | Accuracy 4.901961 | Rotate Accuracy 24.9540 | Time 10.5304
Epoch 2 | Batch 55/63 | Loss 3.0206 | Rotate Loss 1.3960 | Accuracy 4.827009 | Rotate Accuracy 24.9581 | Time 10.3258
Epoch 2 | Batch 60/63 | Loss 3.0185 | Rotate Loss 1.3952 | Accuracy 4.892418 | Rotate Accuracy 24.9616 | Time 10.3431
Epoch 2 : Accuracy 5.000000, Rotate Accuracy 25.000000, Time 981.472441
Epoch 3 | Batch 0/63 | Loss 2.9949 | Rotate Loss 1.3863 | Accuracy 0.000000 | Rotate Accuracy 25.0000 | Time 10.4824
Epoch 3 | Batch 5/63 | Loss 2.9948 | Rotate Loss 1.3863 | Accuracy 7.812500 | Rotate Accuracy 25.0000 | Time 10.4570
Epoch 3 | Batch 10/63 | Loss 3.0130 | Rotate Loss 1.4015 | Accuracy 6.818182 | Rotate Accuracy 24.9290 | Time 10.4829
Epoch 3 | Batch 15/63 | Loss 3.0071 | Rotate Loss 1.3962 | Accuracy 6.250000 | Rotate Accuracy 24.9512 | Time 10.5028
Epoch 3 | Batch 20/63 | Loss 3.0036 | Rotate Loss 1.3936 | Accuracy 6.398810 | Rotate Accuracy 24.9628 | Time 10.6630
Epoch 3 | Batch 25/63 | Loss 3.0153 | Rotate Loss 1.3920 | Accuracy 5.769231 | Rotate Accuracy 24.9700 | Time 10.5957
Epoch 3 | Batch 30/63 | Loss 3.0599 | Rotate Loss 1.3925 | Accuracy 5.846774 | Rotate Accuracy 24.9496 | Time 10.5663
Epoch 3 | Batch 35/63 | Loss 3.0507 | Rotate Loss 1.3989 | Accuracy 5.555556 | Rotate Accuracy 24.9349 | Time 10.5971
Epoch 3 | Batch 40/63 | Loss 3.0496 | Rotate Loss 1.3973 | Accuracy 5.868902 | Rotate Accuracy 24.9428 | Time 10.4804
Epoch 3 | Batch 45/63 | Loss 3.0435 | Rotate Loss 1.3960 | Accuracy 5.502717 | Rotate Accuracy 24.9490 | Time 10.3579
Epoch 3 | Batch 50/63 | Loss 3.0388 | Rotate Loss 1.3951 | Accuracy 5.269608 | Rotate Accuracy 24.9540 | Time 10.3588
Epoch 3 | Batch 55/63 | Loss 3.0349 | Rotate Loss 1.3943 | Accuracy 5.133929 | Rotate Accuracy 24.9581 | Time 10.5487
Epoch 3 | Batch 60/63 | Loss 3.0316 | Rotate Loss 1.3936 | Accuracy 4.969262 | Rotate Accuracy 24.9616 | Time 10.5583
Epoch 3 : Accuracy 5.000000, Rotate Accuracy 25.000000, Time 986.831684
Epoch 4 | Batch 0/63 | Loss 2.9933 | Rotate Loss 1.3863 | Accuracy 9.375000 | Rotate Accuracy 25.0000 | Time 10.6736
Epoch 4 | Batch 5/63 | Loss 2.9947 | Rotate Loss 1.3863 | Accuracy 4.687500 | Rotate Accuracy 25.0000 | Time 10.5945
Epoch 4 | Batch 10/63 | Loss 2.9949 | Rotate Loss 1.3863 | Accuracy 4.261364 | Rotate Accuracy 25.0000 | Time 10.4349
Epoch 4 | Batch 15/63 | Loss 3.0027 | Rotate Loss 1.3863 | Accuracy 4.882812 | Rotate Accuracy 25.0000 | Time 10.3218
Epoch 4 | Batch 20/63 | Loss 3.0007 | Rotate Loss 1.3924 | Accuracy 5.208333 | Rotate Accuracy 24.9628 | Time 10.5131
Epoch 4 | Batch 25/63 | Loss 2.9996 | Rotate Loss 1.3952 | Accuracy 5.288462 | Rotate Accuracy 24.9399 | Time 10.4959
Epoch 4 | Batch 30/63 | Loss 2.9988 | Rotate Loss 1.3972 | Accuracy 4.838710 | Rotate Accuracy 24.9244 | Time 10.5054
Epoch 4 | Batch 35/63 | Loss 3.0054 | Rotate Loss 1.3957 | Accuracy 4.687500 | Rotate Accuracy 24.9349 | Time 10.6492
Epoch 4 | Batch 40/63 | Loss 3.0040 | Rotate Loss 1.3944 | Accuracy 4.954268 | Rotate Accuracy 24.9619 | Time 10.5516
Epoch 4 | Batch 45/63 | Loss 3.0095 | Rotate Loss 1.3934 | Accuracy 5.027174 | Rotate Accuracy 24.9830 | Time 10.5457
Epoch 4 | Batch 50/63 | Loss 3.0215 | Rotate Loss 1.3927 | Accuracy 5.147059 | Rotate Accuracy 24.9847 | Time 10.7707
Epoch 4 | Batch 55/63 | Loss 3.0190 | Rotate Loss 1.3921 | Accuracy 4.994420 | Rotate Accuracy 24.9860 | Time 10.5631
Epoch 4 | Batch 60/63 | Loss 3.0196 | Rotate Loss 1.3917 | Accuracy 5.071721 | Rotate Accuracy 24.9872 | Time 10.5981
Epoch 4 : Accuracy 4.950000, Rotate Accuracy 25.012500, Time 988.975258
Epoch 5 | Batch 0/63 | Loss 2.9957 | Rotate Loss 1.3863 | Accuracy 0.000000 | Rotate Accuracy 25.0000 | Time 10.5023
Epoch 5 | Batch 5/63 | Loss 3.0151 | Rotate Loss 1.4038 | Accuracy 1.302083 | Rotate Accuracy 24.8698 | Time 10.5929
Epoch 5 | Batch 10/63 | Loss 3.0061 | Rotate Loss 1.4334 | Accuracy 2.698864 | Rotate Accuracy 24.9290 | Time 10.6576
Epoch 5 | Batch 15/63 | Loss 3.0153 | Rotate Loss 1.4359 | Accuracy 3.320312 | Rotate Accuracy 24.9023 | Time 10.5185
Epoch 5 | Batch 20/63 | Loss 3.0209 | Rotate Loss 1.4241 | Accuracy 3.422619 | Rotate Accuracy 24.9256 | Time 10.3755
Epoch 5 | Batch 25/63 | Loss 3.0158 | Rotate Loss 1.4168 | Accuracy 3.485577 | Rotate Accuracy 24.9399 | Time 10.3874
Epoch 5 | Batch 30/63 | Loss 3.0125 | Rotate Loss 1.4119 | Accuracy 3.427419 | Rotate Accuracy 24.9496 | Time 10.3626
Epoch 5 | Batch 35/63 | Loss 3.0098 | Rotate Loss 1.4084 | Accuracy 4.036458 | Rotate Accuracy 24.9566 | Time 10.5710
Epoch 5 | Batch 40/63 | Loss 3.0327 | Rotate Loss 1.4071 | Accuracy 4.230183 | Rotate Accuracy 24.9619 | Time 10.3496
Epoch 5 | Batch 45/63 | Loss 3.0286 | Rotate Loss 1.4099 | Accuracy 4.313859 | Rotate Accuracy 24.9660 | Time 10.3845
Epoch 5 | Batch 50/63 | Loss 3.0253 | Rotate Loss 1.4076 | Accuracy 4.503676 | Rotate Accuracy 24.9694 | Time 10.3634
Epoch 5 | Batch 55/63 | Loss 3.0225 | Rotate Loss 1.4057 | Accuracy 4.827009 | Rotate Accuracy 24.9721 | Time 10.3139
Epoch 5 | Batch 60/63 | Loss 3.0202 | Rotate Loss 1.4041 | Accuracy 4.892418 | Rotate Accuracy 24.9744 | Time 10.5513
Epoch 5 : Accuracy 5.000000, Rotate Accuracy 25.000000, Time 982.959460
Epoch 6 | Batch 0/63 | Loss 2.9949 | Rotate Loss 1.3863 | Accuracy 3.125000 | Rotate Accuracy 25.0000 | Time 10.7624
Epoch 6 | Batch 5/63 | Loss 3.0469 | Rotate Loss 1.3863 | Accuracy 5.729167 | Rotate Accuracy 25.0000 | Time 10.5089
Epoch 6 | Batch 10/63 | Loss 3.0232 | Rotate Loss 1.3863 | Accuracy 4.829545 | Rotate Accuracy 25.0000 | Time 10.4617
Epoch 6 | Batch 15/63 | Loss 3.0144 | Rotate Loss 1.3863 | Accuracy 4.882812 | Rotate Accuracy 25.0000 | Time 10.6020
Epoch 6 | Batch 20/63 | Loss 3.0099 | Rotate Loss 1.3863 | Accuracy 4.761905 | Rotate Accuracy 25.0000 | Time 10.3944
Epoch 6 | Batch 25/63 | Loss 3.0071 | Rotate Loss 1.3863 | Accuracy 4.447115 | Rotate Accuracy 25.0000 | Time 10.3647
Epoch 6 | Batch 30/63 | Loss 3.0051 | Rotate Loss 1.3863 | Accuracy 4.435484 | Rotate Accuracy 25.0000 | Time 10.4013
Epoch 6 | Batch 35/63 | Loss 3.0036 | Rotate Loss 1.3863 | Accuracy 4.513889 | Rotate Accuracy 25.0000 | Time 10.6278
Epoch 6 | Batch 40/63 | Loss 3.0027 | Rotate Loss 1.3863 | Accuracy 4.649390 | Rotate Accuracy 25.0000 | Time 10.3464
Epoch 6 | Batch 45/63 | Loss 3.0019 | Rotate Loss 1.3863 | Accuracy 4.823370 | Rotate Accuracy 25.0000 | Time 10.5226
Epoch 6 | Batch 50/63 | Loss 3.0117 | Rotate Loss 1.3863 | Accuracy 4.901961 | Rotate Accuracy 25.0000 | Time 10.4587
Epoch 6 | Batch 55/63 | Loss 3.0152 | Rotate Loss 1.3863 | Accuracy 4.799107 | Rotate Accuracy 25.0000 | Time 10.4217
Epoch 6 | Batch 60/63 | Loss 3.0261 | Rotate Loss 1.3863 | Accuracy 5.020492 | Rotate Accuracy 25.0000 | Time 10.5304
Epoch 6 : Accuracy 5.000000, Rotate Accuracy 25.000000, Time 982.001103
Epoch 7 | Batch 0/63 | Loss 2.9949 | Rotate Loss 1.3863 | Accuracy 6.250000 | Rotate Accuracy 25.0000 | Time 10.8203
Epoch 7 | Batch 5/63 | Loss 2.9951 | Rotate Loss 1.3863 | Accuracy 3.645833 | Rotate Accuracy 25.0000 | Time 10.4148
Epoch 7 | Batch 10/63 | Loss 2.9949 | Rotate Loss 1.3863 | Accuracy 4.261364 | Rotate Accuracy 25.0000 | Time 10.5240
Epoch 7 | Batch 15/63 | Loss 2.9951 | Rotate Loss 1.3863 | Accuracy 3.906250 | Rotate Accuracy 25.0000 | Time 10.5058
Epoch 7 | Batch 20/63 | Loss 2.9951 | Rotate Loss 1.3861 | Accuracy 4.910714 | Rotate Accuracy 25.0372 | Time 10.5407
Epoch 7 | Batch 25/63 | Loss 3.0106 | Rotate Loss 1.3858 | Accuracy 5.288462 | Rotate Accuracy 25.0901 | Time 10.3236
Epoch 7 | Batch 30/63 | Loss 3.0078 | Rotate Loss 1.3856 | Accuracy 4.939516 | Rotate Accuracy 25.1260 | Time 10.3742
Epoch 7 | Batch 35/63 | Loss 3.0333 | Rotate Loss 1.3857 | Accuracy 5.034722 | Rotate Accuracy 25.1085 | Time 10.4929
Epoch 7 | Batch 40/63 | Loss 3.0328 | Rotate Loss 1.3857 | Accuracy 5.106707 | Rotate Accuracy 25.0953 | Time 10.4026
Epoch 7 | Batch 45/63 | Loss 3.0286 | Rotate Loss 1.3885 | Accuracy 4.959239 | Rotate Accuracy 25.1019 | Time 10.5139
Epoch 7 | Batch 50/63 | Loss 3.0252 | Rotate Loss 1.3935 | Accuracy 5.024510 | Rotate Accuracy 25.0919 | Time 10.6364
Epoch 7 | Batch 55/63 | Loss 3.0224 | Rotate Loss 1.3926 | Accuracy 4.910714 | Rotate Accuracy 25.0837 | Time 10.5461
Epoch 7 | Batch 60/63 | Loss 3.0202 | Rotate Loss 1.3921 | Accuracy 5.020492 | Rotate Accuracy 25.0768 | Time 10.4159
Epoch 7 : Accuracy 5.000000, Rotate Accuracy 25.062500, Time 982.301204
Epoch 8 | Batch 0/63 | Loss 2.9933 | Rotate Loss 1.3863 | Accuracy 0.000000 | Rotate Accuracy 25.0000 | Time 10.6839
Epoch 8 | Batch 5/63 | Loss 3.0980 | Rotate Loss 1.3848 | Accuracy 4.166667 | Rotate Accuracy 25.2604 | Time 10.6809
Epoch 8 | Batch 10/63 | Loss 3.0507 | Rotate Loss 1.3847 | Accuracy 3.693182 | Rotate Accuracy 25.2841 | Time 10.4063
Epoch 8 | Batch 15/63 | Loss 3.0329 | Rotate Loss 1.4032 | Accuracy 3.515625 | Rotate Accuracy 25.7812 | Time 10.3957
Epoch 8 | Batch 20/63 | Loss 3.0689 | Rotate Loss 1.4016 | Accuracy 4.017857 | Rotate Accuracy 25.7068 | Time 10.5642
