Namespace(batch_size=32, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-09, init_gain_conv1=1e-09, init_gain_conv2=1e-09, init_gain_conv3=1e-09, init_gain_fc=1e-09, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=20, none_act=0.05, oc1=32, oc2=64, oc3=64, padding=2, reset=1, save_int=5, target_act=1.0, tau_mem_high=12.5, tau_mem_low=12.5, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.0, train_samples=100, train_tau=False)
d185a7dd-e8fa-467d-a7c4-3aa216e050b3
Start Training Backbone
Epoch 1 | Batch 0/63 | Loss 6.2099 | Rotate Loss 2.8469 | Accuracy 7.812500 | Rotate Accuracy 25.7812 | Time 10.6772
Epoch 1 | Batch 5/63 | Loss 5.8294 | Rotate Loss 3.2820 | Accuracy 6.510417 | Rotate Accuracy 21.6146 | Time 10.5672
Epoch 1 | Batch 10/63 | Loss 5.8926 | Rotate Loss 3.6223 | Accuracy 5.681818 | Rotate Accuracy 23.1534 | Time 10.5917
Epoch 1 | Batch 15/63 | Loss 5.8936 | Rotate Loss 3.9660 | Accuracy 5.273438 | Rotate Accuracy 23.4863 | Time 10.5595
Epoch 1 | Batch 20/63 | Loss 5.8510 | Rotate Loss 4.1270 | Accuracy 5.208333 | Rotate Accuracy 23.8467 | Time 10.6990
Epoch 1 | Batch 25/63 | Loss 5.7796 | Rotate Loss 4.2576 | Accuracy 4.987981 | Rotate Accuracy 24.0084 | Time 10.4703
Epoch 1 | Batch 30/63 | Loss 5.7760 | Rotate Loss 4.3178 | Accuracy 4.687500 | Rotate Accuracy 24.2188 | Time 10.5286
Epoch 1 | Batch 35/63 | Loss 5.7766 | Rotate Loss 4.3665 | Accuracy 4.774306 | Rotate Accuracy 24.3924 | Time 10.5663
Epoch 1 | Batch 40/63 | Loss 5.6837 | Rotate Loss 4.4069 | Accuracy 4.839939 | Rotate Accuracy 24.4284 | Time 10.5569
Epoch 1 | Batch 45/63 | Loss 5.6998 | Rotate Loss 4.4441 | Accuracy 4.891304 | Rotate Accuracy 24.4565 | Time 10.6752
Epoch 1 | Batch 50/63 | Loss 5.7042 | Rotate Loss 4.4796 | Accuracy 5.024510 | Rotate Accuracy 24.5864 | Time 10.4934
Epoch 1 | Batch 55/63 | Loss 5.6919 | Rotate Loss 4.4909 | Accuracy 5.189732 | Rotate Accuracy 24.4978 | Time 10.5475
Epoch 1 | Batch 60/63 | Loss 5.6738 | Rotate Loss 4.4896 | Accuracy 5.148566 | Rotate Accuracy 24.6158 | Time 10.5860
Epoch 1 : Accuracy 5.200000, Rotate Accuracy 26.062500, Time 988.963835
Epoch 2 | Batch 0/63 | Loss 6.3861 | Rotate Loss 4.4011 | Accuracy 1.562500 | Rotate Accuracy 27.3438 | Time 10.3586
Epoch 2 | Batch 5/63 | Loss 5.3972 | Rotate Loss 4.5622 | Accuracy 3.906250 | Rotate Accuracy 25.9115 | Time 10.3804
Epoch 2 | Batch 10/63 | Loss 5.4648 | Rotate Loss 4.6275 | Accuracy 4.119318 | Rotate Accuracy 25.5682 | Time 10.4110
