Namespace(batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, tau_mem_high=35.0, tau_mem_low=35.0, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
9b4e75b6-6dac-440a-b987-3c6d19ffdfee
Start Training Backbone
Epoch 1 | Batch 0/58 | Loss 9.4903 | Rotate Loss 1.6906 | Accuracy 0.724638 | Rotate Accuracy 23.1884 | Time 19.7202
Epoch 1 | Batch 5/58 | Loss 7.9412 | Rotate Loss 2.2517 | Accuracy 1.449275 | Rotate Accuracy 31.7633 | Time 19.3922
Epoch 1 | Batch 10/58 | Loss 7.5845 | Rotate Loss 1.9044 | Accuracy 1.185771 | Rotate Accuracy 37.8129 | Time 18.3722
Epoch 1 | Batch 15/58 | Loss 7.4013 | Rotate Loss 1.8679 | Accuracy 1.268116 | Rotate Accuracy 40.3080 | Time 19.5090
Epoch 1 | Batch 20/58 | Loss 7.1696 | Rotate Loss 1.7404 | Accuracy 1.449275 | Rotate Accuracy 42.5121 | Time 18.7139
Epoch 1 | Batch 25/58 | Loss 7.0996 | Rotate Loss 1.7926 | Accuracy 1.505017 | Rotate Accuracy 43.8406 | Time 19.0830
Epoch 1 | Batch 30/58 | Loss 7.0750 | Rotate Loss 1.8324 | Accuracy 1.472651 | Rotate Accuracy 45.0912 | Time 19.5833
Epoch 1 | Batch 35/58 | Loss 7.0327 | Rotate Loss 1.9192 | Accuracy 1.469404 | Rotate Accuracy 45.7126 | Time 18.5716
Epoch 1 | Batch 40/58 | Loss 7.0300 | Rotate Loss 1.8956 | Accuracy 1.413927 | Rotate Accuracy 46.6419 | Time 18.6910
Epoch 1 | Batch 45/58 | Loss 7.0280 | Rotate Loss 1.8890 | Accuracy 1.370510 | Rotate Accuracy 46.6919 | Time 19.2928
Epoch 1 | Batch 50/58 | Loss 7.0208 | Rotate Loss 1.8071 | Accuracy 1.449275 | Rotate Accuracy 47.8403 | Time 18.9203
Epoch 1 | Batch 55/58 | Loss 6.9814 | Rotate Loss 1.7327 | Accuracy 1.488095 | Rotate Accuracy 49.0554 | Time 19.6095
Epoch 1 : Accuracy 1.700000, Rotate Accuracy 64.000000, Time 1952.172941
Epoch 2 | Batch 0/58 | Loss 6.4115 | Rotate Loss 0.7254 | Accuracy 2.898551 | Rotate Accuracy 58.6957 | Time 19.4993
Epoch 2 | Batch 5/58 | Loss 6.3059 | Rotate Loss 0.9190 | Accuracy 2.415459 | Rotate Accuracy 58.5749 | Time 19.1636
Epoch 2 | Batch 10/58 | Loss 6.2932 | Rotate Loss 0.8668 | Accuracy 2.305665 | Rotate Accuracy 61.7918 | Time 19.0466
Epoch 2 | Batch 15/58 | Loss 6.3234 | Rotate Loss 0.9971 | Accuracy 1.902174 | Rotate Accuracy 60.2355 | Time 19.8016
Epoch 2 | Batch 20/58 | Loss 6.3442 | Rotate Loss 1.0822 | Accuracy 1.759834 | Rotate Accuracy 59.1442 | Time 18.8727
Epoch 2 | Batch 25/58 | Loss 6.4225 | Rotate Loss 1.0581 | Accuracy 1.700111 | Rotate Accuracy 58.6957 | Time 19.1204
Epoch 2 | Batch 30/58 | Loss 6.4668 | Rotate Loss 1.1151 | Accuracy 1.753156 | Rotate Accuracy 57.5503 | Time 19.5266
