Namespace(batch_size=138, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.0, train_samples=100, train_tau=False)
bed01416-4513-45cf-be89-35ff0b9e608c
Start Training Backbone
Epoch 1 | Batch 0/47 | Loss 8.3476 | Rotate Loss 4.8660 | Accuracy 2.173913 | Rotate Accuracy 16.6667 | Time 19.3903
Epoch 1 | Batch 5/47 | Loss 6.9819 | Rotate Loss 2.9757 | Accuracy 2.415459 | Rotate Accuracy 25.0000 | Time 18.5942
Epoch 1 | Batch 10/47 | Loss 6.6670 | Rotate Loss 2.6938 | Accuracy 1.844532 | Rotate Accuracy 28.5903 | Time 18.9095
Epoch 1 | Batch 15/47 | Loss 6.3947 | Rotate Loss 2.3315 | Accuracy 1.630435 | Rotate Accuracy 32.0652 | Time 19.3069
Epoch 1 | Batch 20/47 | Loss 6.2667 | Rotate Loss 2.1078 | Accuracy 1.656315 | Rotate Accuracy 35.8178 | Time 18.7006
Epoch 1 | Batch 25/47 | Loss 6.2073 | Rotate Loss 1.9372 | Accuracy 1.616499 | Rotate Accuracy 38.4615 | Time 19.0095
Epoch 1 | Batch 30/47 | Loss 6.1424 | Rotate Loss 1.8979 | Accuracy 1.566152 | Rotate Accuracy 39.1071 | Time 18.3594
Epoch 1 | Batch 35/47 | Loss 6.1166 | Rotate Loss 1.8180 | Accuracy 1.670692 | Rotate Accuracy 39.6940 | Time 18.5968
Epoch 1 | Batch 40/47 | Loss 6.1378 | Rotate Loss 1.7927 | Accuracy 1.590668 | Rotate Accuracy 40.3323 | Time 18.8306
Epoch 1 | Batch 45/47 | Loss 6.1803 | Rotate Loss 1.7501 | Accuracy 1.575299 | Rotate Accuracy 41.5879 | Time 18.9915
Epoch 1 : Accuracy 1.562500, Rotate Accuracy 47.906250, Time 1499.203810
Epoch 2 | Batch 0/47 | Loss 6.1548 | Rotate Loss 1.5326 | Accuracy 1.449275 | Rotate Accuracy 42.7536 | Time 18.9024
Epoch 2 | Batch 5/47 | Loss 6.1868 | Rotate Loss 1.6871 | Accuracy 0.966184 | Rotate Accuracy 43.5990 | Time 19.2989
Epoch 2 | Batch 10/47 | Loss 6.0864 | Rotate Loss 1.5982 | Accuracy 1.119895 | Rotate Accuracy 45.9157 | Time 19.7653
Epoch 2 | Batch 15/47 | Loss 6.0535 | Rotate Loss 1.4800 | Accuracy 1.358696 | Rotate Accuracy 46.8750 | Time 19.0752
Epoch 2 | Batch 20/47 | Loss 5.9879 | Rotate Loss 1.4578 | Accuracy 1.518288 | Rotate Accuracy 46.8254 | Time 18.4762
Epoch 2 | Batch 25/47 | Loss 5.9698 | Rotate Loss 1.5019 | Accuracy 1.588629 | Rotate Accuracy 46.5719 | Time 18.9916
Epoch 2 | Batch 30/47 | Loss 5.9678 | Rotate Loss 1.5344 | Accuracy 1.589528 | Rotate Accuracy 46.2366 | Time 18.9016
Epoch 2 | Batch 35/47 | Loss 5.9467 | Rotate Loss 1.4704 | Accuracy 1.630435 | Rotate Accuracy 46.9203 | Time 19.1204
Epoch 2 | Batch 40/47 | Loss 5.9099 | Rotate Loss 1.4377 | Accuracy 1.608342 | Rotate Accuracy 46.9777 | Time 19.4201
Epoch 2 | Batch 45/47 | Loss 5.9038 | Rotate Loss 1.4044 | Accuracy 1.638311 | Rotate Accuracy 47.1802 | Time 19.1657
Epoch 2 : Accuracy 1.703125, Rotate Accuracy 50.265625, Time 1504.794970
Epoch 3 | Batch 0/47 | Loss 5.8189 | Rotate Loss 0.9959 | Accuracy 1.449275 | Rotate Accuracy 45.6522 | Time 19.2439
Epoch 3 | Batch 5/47 | Loss 5.7223 | Rotate Loss 0.9385 | Accuracy 0.966184 | Rotate Accuracy 53.0193 | Time 18.9649
Epoch 3 | Batch 10/47 | Loss 5.7862 | Rotate Loss 1.1542 | Accuracy 1.515152 | Rotate Accuracy 51.5152 | Time 18.9124
Epoch 3 | Batch 15/47 | Loss 5.7748 | Rotate Loss 1.3247 | Accuracy 1.585145 | Rotate Accuracy 47.7808 | Time 19.0082
Epoch 3 | Batch 20/47 | Loss 5.7196 | Rotate Loss 1.5038 | Accuracy 1.380262 | Rotate Accuracy 43.7888 | Time 19.1037
Epoch 3 | Batch 25/47 | Loss 5.8330 | Rotate Loss 1.5755 | Accuracy 1.421405 | Rotate Accuracy 43.9799 | Time 18.7561
Epoch 3 | Batch 30/47 | Loss 5.8945 | Rotate Loss 1.4981 | Accuracy 1.449275 | Rotate Accuracy 44.9977 | Time 19.2491
Epoch 3 | Batch 35/47 | Loss 5.9334 | Rotate Loss 1.4264 | Accuracy 1.409018 | Rotate Accuracy 45.6522 | Time 18.6383
Epoch 3 | Batch 40/47 | Loss 5.9497 | Rotate Loss 1.3791 | Accuracy 1.484624 | Rotate Accuracy 46.1470 | Time 18.6127
Epoch 3 | Batch 45/47 | Loss 5.9415 | Rotate Loss 1.3966 | Accuracy 1.433522 | Rotate Accuracy 46.4083 | Time 18.6366
Epoch 3 : Accuracy 1.781250, Rotate Accuracy 32.843750, Time 1509.231617
