Namespace(batch_size=32, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-09, init_gain_conv1=1e-09, init_gain_conv2=1e-09, init_gain_conv3=1e-09, init_gain_fc=1e-09, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-08, lr_div=100, n_train=20, none_act=0.05, oc1=32, oc2=64, oc3=64, padding=2, reset=1, save_int=5, target_act=1.0, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2, tau_ref_low=2, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.0, train_samples=100, train_tau=False)
12cd131b-d651-45fc-bd19-d907af79d525
Start Training Backbone
Epoch 1 | Batch 0/63 | Loss 9.6827 | Rotate Loss 6.0609 | Accuracy 6.250000 | Rotate Accuracy 24.2188 | Time 10.5895
Epoch 1 | Batch 5/63 | Loss 12.8320 | Rotate Loss 9.1409 | Accuracy 3.125000 | Rotate Accuracy 24.8698 | Time 10.4395
Epoch 1 | Batch 10/63 | Loss 9.5869 | Rotate Loss 7.1545 | Accuracy 3.267045 | Rotate Accuracy 24.9290 | Time 10.4551
Epoch 1 | Batch 15/63 | Loss 7.8315 | Rotate Loss 5.3714 | Accuracy 3.417969 | Rotate Accuracy 24.9512 | Time 10.4716
Epoch 1 | Batch 20/63 | Loss 7.0590 | Rotate Loss 4.4263 | Accuracy 3.348214 | Rotate Accuracy 24.9628 | Time 10.7257
Epoch 1 | Batch 25/63 | Loss 6.6962 | Rotate Loss 4.4761 | Accuracy 3.545673 | Rotate Accuracy 24.9700 | Time 10.5097
Epoch 1 | Batch 30/63 | Loss 6.3148 | Rotate Loss 4.2977 | Accuracy 3.679435 | Rotate Accuracy 24.9748 | Time 10.7958
Epoch 1 | Batch 35/63 | Loss 6.2068 | Rotate Loss 4.3221 | Accuracy 3.732639 | Rotate Accuracy 25.0000 | Time 10.5560
Epoch 1 | Batch 40/63 | Loss 5.9140 | Rotate Loss 4.1429 | Accuracy 4.039634 | Rotate Accuracy 25.0000 | Time 10.7079
Epoch 1 | Batch 45/63 | Loss 5.7410 | Rotate Loss 3.9713 | Accuracy 4.211957 | Rotate Accuracy 25.0000 | Time 10.4935
Epoch 1 | Batch 50/63 | Loss 5.6320 | Rotate Loss 3.7350 | Accuracy 4.534314 | Rotate Accuracy 25.0000 | Time 10.5465
Epoch 1 | Batch 55/63 | Loss 5.5252 | Rotate Loss 3.7181 | Accuracy 4.352679 | Rotate Accuracy 25.1395 | Time 10.5912
Epoch 1 | Batch 60/63 | Loss 5.4140 | Rotate Loss 3.7233 | Accuracy 4.328893 | Rotate Accuracy 25.1281 | Time 10.7583
Epoch 1 : Accuracy 5.000000, Rotate Accuracy 25.000000, Time 985.811219
Epoch 2 | Batch 0/63 | Loss 3.9013 | Rotate Loss 1.6265 | Accuracy 15.625000 | Rotate Accuracy 25.0000 | Time 10.7604
Epoch 2 | Batch 5/63 | Loss 4.3531 | Rotate Loss 2.6987 | Accuracy 5.729167 | Rotate Accuracy 25.0000 | Time 10.6475
Epoch 2 | Batch 10/63 | Loss 4.1040 | Rotate Loss 2.5920 | Accuracy 4.829545 | Rotate Accuracy 25.0000 | Time 10.5401
Epoch 2 | Batch 15/63 | Loss 3.9961 | Rotate Loss 2.4063 | Accuracy 5.664062 | Rotate Accuracy 25.0000 | Time 10.6753
Epoch 2 | Batch 20/63 | Loss 3.9051 | Rotate Loss 2.1848 | Accuracy 6.101190 | Rotate Accuracy 25.0000 | Time 10.6756
Epoch 2 | Batch 25/63 | Loss 3.9423 | Rotate Loss 2.0372 | Accuracy 6.250000 | Rotate Accuracy 25.0000 | Time 10.7333
Epoch 2 | Batch 30/63 | Loss 3.9281 | Rotate Loss 1.9425 | Accuracy 5.745968 | Rotate Accuracy 25.0000 | Time 10.6496
Epoch 2 | Batch 35/63 | Loss 3.9122 | Rotate Loss 1.8653 | Accuracy 5.468750 | Rotate Accuracy 25.0000 | Time 10.8485
Epoch 2 | Batch 40/63 | Loss 3.8471 | Rotate Loss 1.8068 | Accuracy 5.487805 | Rotate Accuracy 25.0000 | Time 10.6752
Epoch 2 | Batch 45/63 | Loss 3.8140 | Rotate Loss 1.7611 | Accuracy 5.638587 | Rotate Accuracy 25.0000 | Time 10.8070
Epoch 2 | Batch 50/63 | Loss 3.8053 | Rotate Loss 1.7244 | Accuracy 5.330882 | Rotate Accuracy 25.0000 | Time 10.9122
