Namespace(aux_classes=4, batch_size=16, burnin=10, conv_bias=True, delta_t=1, epochs=400, fc_bias=True, init_gain_backbone=0.5, init_gain_fc=1, k1=7, k2=7, log_int=10, lr=1e-07, lr_div=100, n_train=25, none_act=0.05, oc1=8, oc2=24, reset=1, save_int=5, target_act=0.95, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.5, train_samples=100)
f55bbde6-98ff-4fa0-be2b-ddaf6de7ac1c
Start Training Backbone
Epoch 1 | Batch 0/157 | Loss 35612.628906 | Rotate Loss 37388.062500 | Time 5.101754
Epoch 1 | Batch 10/157 | Loss 35072.910511 | Rotate Loss 35815.745739 | Time 5.240965
Epoch 1 | Batch 20/157 | Loss 34906.101562 | Rotate Loss 35897.965030 | Time 5.294691
Epoch 1 | Batch 30/157 | Loss 34862.925277 | Rotate Loss 35608.231855 | Time 5.336948
Epoch 1 | Batch 40/157 | Loss 34813.469417 | Rotate Loss 35672.366806 | Time 5.263119
Epoch 1 | Batch 50/157 | Loss 34852.773744 | Rotate Loss 35608.046262 | Time 5.292367
Epoch 1 | Batch 60/157 | Loss 34795.906474 | Rotate Loss 35767.865523 | Time 5.319144
Epoch 1 | Batch 70/157 | Loss 34865.806035 | Rotate Loss 35864.400638 | Time 5.238192
Epoch 1 | Batch 80/157 | Loss 34882.551481 | Rotate Loss 35928.361208 | Time 5.265089
Epoch 1 | Batch 90/157 | Loss 34840.560161 | Rotate Loss 35937.342720 | Time 5.208730
Epoch 1 | Batch 100/157 | Loss 34845.568591 | Rotate Loss 35887.088490 | Time 5.149911
Epoch 1 | Batch 110/157 | Loss 34833.771132 | Rotate Loss 35915.727407 | Time 5.762156
Epoch 1 | Batch 120/157 | Loss 34831.278942 | Rotate Loss 35947.578125 | Time 5.273814
Epoch 1 | Batch 130/157 | Loss 34764.805209 | Rotate Loss 35978.641281 | Time 5.221042
Epoch 1 | Batch 140/157 | Loss 34746.720481 | Rotate Loss 35984.551751 | Time 5.169802
Epoch 1 | Batch 150/157 | Loss 34730.812332 | Rotate Loss 35954.493688 | Time 5.135349
Epoch 1 : Accuracy 4.300000, Rotate Accuracy 30.070000, Time 916.869880
Epoch 2 | Batch 0/157 | Loss 34548.726562 | Rotate Loss 35796.445312 | Time 4.959873
Epoch 2 | Batch 10/157 | Loss 34466.066051 | Rotate Loss 35696.191051 | Time 5.255019
Epoch 2 | Batch 20/157 | Loss 34342.889509 | Rotate Loss 35134.327009 | Time 5.176617
Epoch 2 | Batch 30/157 | Loss 34336.368322 | Rotate Loss 35071.986391 | Time 5.190316
Epoch 2 | Batch 40/157 | Loss 34213.772961 | Rotate Loss 35010.904916 | Time 5.233785
Epoch 2 | Batch 50/157 | Loss 34253.398744 | Rotate Loss 35119.265931 | Time 5.243443
Epoch 2 | Batch 60/157 | Loss 34199.890753 | Rotate Loss 35368.386911 | Time 5.315138
Epoch 2 | Batch 70/157 | Loss 34153.316131 | Rotate Loss 35410.785651 | Time 5.257413
Epoch 2 | Batch 80/157 | Loss 34150.826823 | Rotate Loss 35514.394097 | Time 5.221292
Epoch 2 | Batch 90/157 | Loss 34141.737208 | Rotate Loss 35547.425996 | Time 5.280104
Epoch 2 | Batch 100/157 | Loss 34173.848971 | Rotate Loss 35555.722850 | Time 5.230292
Epoch 2 | Batch 110/157 | Loss 34184.354184 | Rotate Loss 35561.882179 | Time 5.250864
Epoch 2 | Batch 120/157 | Loss 34191.558077 | Rotate Loss 35601.401214 | Time 5.247293
Epoch 2 | Batch 130/157 | Loss 34199.952499 | Rotate Loss 35654.981095 | Time 5.212427
Epoch 2 | Batch 140/157 | Loss 34206.297041 | Rotate Loss 35661.309896 | Time 5.182628
Epoch 2 | Batch 150/157 | Loss 34248.796694 | Rotate Loss 35622.366101 | Time 5.193909
Epoch 2 : Accuracy 4.060000, Rotate Accuracy 30.080000, Time 917.031538
Epoch 3 | Batch 0/157 | Loss 34977.765625 | Rotate Loss 34732.648438 | Time 4.992018
Epoch 3 | Batch 10/157 | Loss 34034.908558 | Rotate Loss 35278.700994 | Time 5.139887
Epoch 3 | Batch 20/157 | Loss 33839.477958 | Rotate Loss 35140.095238 | Time 5.276128
Epoch 3 | Batch 30/157 | Loss 33867.405809 | Rotate Loss 34813.335433 | Time 5.312996
Epoch 3 | Batch 40/157 | Loss 33816.434594 | Rotate Loss 34753.962652 | Time 5.433305
Epoch 3 | Batch 50/157 | Loss 33804.101103 | Rotate Loss 34833.562040 | Time 5.454751
Epoch 3 | Batch 60/157 | Loss 33691.454438 | Rotate Loss 35071.981301 | Time 5.282620
Epoch 3 | Batch 70/157 | Loss 33726.568332 | Rotate Loss 35119.782020 | Time 5.212366
Epoch 3 | Batch 80/157 | Loss 33730.366416 | Rotate Loss 35185.038002 | Time 5.188241
Epoch 3 | Batch 90/157 | Loss 33737.240041 | Rotate Loss 35145.765539 | Time 5.179331
Epoch 3 | Batch 100/157 | Loss 33768.381478 | Rotate Loss 35158.033338 | Time 5.242482
Epoch 3 | Batch 110/157 | Loss 33738.407218 | Rotate Loss 35177.907587 | Time 5.252844
Epoch 3 | Batch 120/157 | Loss 33787.052315 | Rotate Loss 35207.860473 | Time 5.271773
Epoch 3 | Batch 130/157 | Loss 33733.653775 | Rotate Loss 35260.243321 | Time 5.285014
Epoch 3 | Batch 140/157 | Loss 33734.292345 | Rotate Loss 35240.050477 | Time 5.232295
Epoch 3 | Batch 150/157 | Loss 33755.223135 | Rotate Loss 35221.620188 | Time 5.304109
Epoch 3 : Accuracy 4.120000, Rotate Accuracy 29.780000, Time 921.464877
Epoch 4 | Batch 0/157 | Loss 33179.316406 | Rotate Loss 35707.265625 | Time 4.929890
Epoch 4 | Batch 10/157 | Loss 33195.956499 | Rotate Loss 34806.869318 | Time 5.319759
Epoch 4 | Batch 20/157 | Loss 33152.175781 | Rotate Loss 34719.836310 | Time 5.250968
Epoch 4 | Batch 30/157 | Loss 33277.249181 | Rotate Loss 34583.885585 | Time 5.233302
Epoch 4 | Batch 40/157 | Loss 33284.538634 | Rotate Loss 34545.777058 | Time 5.273975
Epoch 4 | Batch 50/157 | Loss 33264.206036 | Rotate Loss 34534.834406 | Time 5.249133
Epoch 4 | Batch 60/157 | Loss 33159.497823 | Rotate Loss 34696.522925 | Time 5.260362
Epoch 4 | Batch 70/157 | Loss 33187.094438 | Rotate Loss 34757.476673 | Time 5.200425
Epoch 4 | Batch 80/157 | Loss 33209.524523 | Rotate Loss 34808.783951 | Time 5.245867
Epoch 4 | Batch 90/157 | Loss 33174.503026 | Rotate Loss 34917.895690 | Time 5.181526
Epoch 4 | Batch 100/157 | Loss 33226.074393 | Rotate Loss 34880.231358 | Time 5.248724
Epoch 4 | Batch 110/157 | Loss 33233.901112 | Rotate Loss 34900.008868 | Time 5.161253
Epoch 4 | Batch 120/157 | Loss 33257.079997 | Rotate Loss 34905.985731 | Time 5.206002
Epoch 4 | Batch 130/157 | Loss 33228.791821 | Rotate Loss 34922.044907 | Time 5.266307
Epoch 4 | Batch 140/157 | Loss 33234.679424 | Rotate Loss 34962.052083 | Time 5.318189
Epoch 4 | Batch 150/157 | Loss 33269.445739 | Rotate Loss 34914.370292 | Time 5.219416
Epoch 4 : Accuracy 4.200000, Rotate Accuracy 29.940000, Time 916.792483
Epoch 5 | Batch 0/157 | Loss 33352.035156 | Rotate Loss 34583.492188 | Time 5.065655
Epoch 5 | Batch 10/157 | Loss 32930.737571 | Rotate Loss 34902.715909 | Time 5.213562
Epoch 5 | Batch 20/157 | Loss 32672.039993 | Rotate Loss 34711.260045 | Time 5.214770
Epoch 5 | Batch 30/157 | Loss 32859.727760 | Rotate Loss 34461.802167 | Time 5.260683
Epoch 5 | Batch 40/157 | Loss 32859.546637 | Rotate Loss 34491.475419 | Time 5.259656
Epoch 5 | Batch 50/157 | Loss 32805.488856 | Rotate Loss 34451.783854 | Time 5.147684
Epoch 5 | Batch 60/157 | Loss 32723.001345 | Rotate Loss 34604.844262 | Time 5.232749
Epoch 5 | Batch 70/157 | Loss 32794.584700 | Rotate Loss 34612.067452 | Time 5.235190
Epoch 5 | Batch 80/157 | Loss 32840.775342 | Rotate Loss 34664.765721 | Time 5.143358
Epoch 5 | Batch 90/157 | Loss 32814.161015 | Rotate Loss 34639.391913 | Time 5.175820
Epoch 5 | Batch 100/157 | Loss 32842.627437 | Rotate Loss 34542.303605 | Time 5.208698
Epoch 5 | Batch 110/157 | Loss 32843.945559 | Rotate Loss 34564.585515 | Time 5.237372
Epoch 5 | Batch 120/157 | Loss 32877.011832 | Rotate Loss 34594.816890 | Time 5.331333
Epoch 5 | Batch 130/157 | Loss 32841.946222 | Rotate Loss 34647.803197 | Time 5.237162
Epoch 5 | Batch 140/157 | Loss 32841.421238 | Rotate Loss 34608.067598 | Time 5.213825
Epoch 5 | Batch 150/157 | Loss 32854.847307 | Rotate Loss 34577.468491 | Time 5.268711
Epoch 5 : Accuracy 4.320000, Rotate Accuracy 29.730000, Time 914.425991
Epoch 6 | Batch 0/157 | Loss 31462.707031 | Rotate Loss 32839.867188 | Time 5.008032
Epoch 6 | Batch 10/157 | Loss 31960.240767 | Rotate Loss 34077.887784 | Time 5.289873
Epoch 6 | Batch 20/157 | Loss 31996.502139 | Rotate Loss 34085.143229 | Time 5.375155
Epoch 6 | Batch 30/157 | Loss 32243.837450 | Rotate Loss 33940.451613 | Time 5.318440
Epoch 6 | Batch 40/157 | Loss 32319.630145 | Rotate Loss 33916.443788 | Time 5.224398
Epoch 6 | Batch 50/157 | Loss 32281.948606 | Rotate Loss 34016.783241 | Time 5.213719
Epoch 6 | Batch 60/157 | Loss 32160.977843 | Rotate Loss 34192.815574 | Time 5.190449
Epoch 6 | Batch 70/157 | Loss 32193.716467 | Rotate Loss 34253.365977 | Time 5.258388
Epoch 6 | Batch 80/157 | Loss 32207.268229 | Rotate Loss 34327.031443 | Time 5.199917
Epoch 6 | Batch 90/157 | Loss 32209.226133 | Rotate Loss 34403.879378 | Time 5.201918
Epoch 6 | Batch 100/157 | Loss 32216.592609 | Rotate Loss 34391.587485 | Time 5.684535
Epoch 6 | Batch 110/157 | Loss 32246.043690 | Rotate Loss 34440.885206 | Time 5.177372
Epoch 6 | Batch 120/157 | Loss 32272.722124 | Rotate Loss 34454.067859 | Time 5.185277
Epoch 6 | Batch 130/157 | Loss 32248.339605 | Rotate Loss 34500.728292 | Time 5.206211
Epoch 6 | Batch 140/157 | Loss 32263.416043 | Rotate Loss 34481.322750 | Time 5.339933
Epoch 6 | Batch 150/157 | Loss 32327.255523 | Rotate Loss 34421.772661 | Time 5.368805
Epoch 6 : Accuracy 4.520000, Rotate Accuracy 29.130000, Time 919.629861
Epoch 7 | Batch 0/157 | Loss 33755.890625 | Rotate Loss 35529.460938 | Time 4.971562
Epoch 7 | Batch 10/157 | Loss 32042.287287 | Rotate Loss 33933.919034 | Time 5.213096
Epoch 7 | Batch 20/157 | Loss 32019.201358 | Rotate Loss 33891.130952 | Time 5.238274
Epoch 7 | Batch 30/157 | Loss 32062.856855 | Rotate Loss 33738.118700 | Time 5.298945
Epoch 7 | Batch 40/157 | Loss 32012.786395 | Rotate Loss 33732.443216 | Time 5.608197
Epoch 7 | Batch 50/157 | Loss 31929.023438 | Rotate Loss 33776.212010 | Time 5.297913
Epoch 7 | Batch 60/157 | Loss 31915.536117 | Rotate Loss 33902.171363 | Time 5.228215
Epoch 7 | Batch 70/157 | Loss 31915.950154 | Rotate Loss 33968.134243 | Time 5.331759
Epoch 7 | Batch 80/157 | Loss 31915.842134 | Rotate Loss 34058.176119 | Time 5.278385
Epoch 7 | Batch 90/157 | Loss 31910.623111 | Rotate Loss 34085.309409 | Time 5.194503
Epoch 7 | Batch 100/157 | Loss 31876.300008 | Rotate Loss 34055.036974 | Time 5.187683
Epoch 7 | Batch 110/157 | Loss 31841.080905 | Rotate Loss 34121.132883 | Time 5.228478
